id,issue_date,status,location,short_term_rental_type,property_type,property_type_additional_description,condo_association,total_bedrooms,rented_bedrooms,maximum_renter_capacity,kitchen,bathrooms,all_rental_services
43569,May 09 2019,Complete,"12 Leonard Ave
Cambridge, MA 02139
(42.375454, -71.105654)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,3,3,6,Yes,2,Airbnb
13755,April 11 2018,Complete,"257 Cambridge St
Cambridge, MA 02141
(42.371076, -71.080312)",This application is for an OPERATOR-OCCUPIED short-term rental,Other,Owner is operators parent<br>,No,2,2,4,Yes,1,Airbnb
12112,March 26 2018,Complete,"18-A Highland Ave
Cambridge, MA 02139
(42.372253, -71.106333)",This application is for an OPERATOR-OCCUPIED short-term rental,Other,Single family attached house; one half of carriage house,No,2,1,2,Yes,1,Airbnb
52148,July 31 2019,Complete,"18 Farwell Pl
Cambridge, MA 02138
(42.374992, -71.120872)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,2,1,2,No,1,Airbnb
13504,March 29 2020,Complete,"67 Clifton St
Cambridge, MA 02140
(42.395581, -71.136297)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,3,3,5,Yes,2,"Airbnb, HomeAway, FlipKey, VRBO, Craigslist, Boston_Rentals"
13917,March 25 2019,Complete,"61 Elm St
Cambridge, MA 02139
(42.368581, -71.097965)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,4,3,5,No,2,Airbnb
20478,November 14 2019,Complete,"10 Porter St
Cambridge, MA 02141
(42.373483, -71.08832)",This application is for an OWNER-ADJACENT short-term rental,Three-family structure,,No,2,2,4,Yes,1,Airbnb
63106,January 13 2020,Complete,"13 James Way
Cambridge, MA 02141
(42.370223, -71.088787)",This application is for an OPERATOR-OCCUPIED short-term rental,Other,Townhouse,No,3,2,5,Yes,1,Airbnb
13956,April 13 2020,Complete,"246 Norfolk St
Cambridge, MA 02139
(42.370219, -71.098011)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,5,3,3,Yes,3,Airbnb
14776,October 04 2019,Complete,"118 Elm St
Cambridge, MA 02139
(42.369823, -71.097249)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,2,1,1,Yes,1,Airbnb
23974,November 18 2019,Complete,"24 Glenwood Ave
Cambridge, MA 02139
(42.356955, -71.112224)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,2,2,4,Yes,2,Airbnb
13891,July 02 2019,Complete,"66 Reed St
Cambridge, MA 02140
(42.395229, -71.132135)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,Yes,3,2,4,No,1,Airbnb
13717,March 25 2020,Complete,"63 Sixth St
Cambridge, MA 02141
(42.369703, -71.085258)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,2,2,5,Yes,1,"Airbnb, HomeAway, VRBO"
50059,July 15 2019,Complete,"100 Gore St
Cambridge, MA 02141
(42.372053, -71.082284)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,Yes,2,2,5,Yes,2,Airbnb
54783,September 09 2019,Complete,"201 Franklin St
Cambridge, MA 02139
(42.363426, -71.103339)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,3,2,3,No,1,Airbnb
14913,June 07 2019,Complete,"114 Harvey St
Cambridge, MA 02140
(42.397381, -71.133816)",This application is for an OWNER-ADJACENT short-term rental,Three-family structure,,No,2,1,2,Yes,1,Airbnb
17994,August 09 2019,Complete,"63 Magee St
Cambridge, MA 02139
(42.365823, -71.11164)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,3,3,7,Yes,3,"Airbnb, HomeAway, VRBO, Craigslist, Boston_Rentals"
13971,March 30 2018,Complete,"71 Spring St
Cambridge, MA 02141
(42.369073, -71.081187)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,1,1,4,Yes,1,Airbnb
14713,April 08 2019,Complete,"2 Cottage Ct
Cambridge, MA 02139
(42.362393, -71.106066)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,2,1,2,Yes,1.5,Airbnb
31631,February 19 2019,Complete,"78 Spring St
Cambridge, MA 02141
(42.369126, -71.08162)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,2,2,6,Yes,1,Airbnb
67901,March 09 2020,Complete,"220 Pearl St
Cambridge, MA 02139
(42.359365, -71.108423)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,2,2,4,No,1,Airbnb
14751,June 11 2018,Complete,"183 Putnam Ave
Cambridge, MA 02138
(42.364911, -71.113899)",This application is for an OPERATOR-OCCUPIED short-term rental,Other,Individual Entrance town house,Yes,4,4,9,Yes,3,Airbnb
32062,February 11 2020,Complete,"72 Spring St
Cambridge, MA 02141
(42.369093, -71.08135)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,1,1,4,Yes,1,Airbnb
11943,April 15 2020,Complete,"13 Hollis St
Cambridge, MA 02140
(42.39404, -71.128166)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,2,2,4,Yes,1,Airbnb
62076,December 19 2019,Complete,"207 Harvard St
Cambridge, MA 02139
(42.367207, -71.098498)",This application is for an OWNER-ADJACENT short-term rental,Three-family structure,,No,3,3,6,Yes,1,"Airbnb, Craigslist"
50414,July 08 2019,Complete,"406 Franklin St
Cambridge, MA 02139
(42.36667, -71.108842)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,5,5,12,Yes,5,Airbnb
13834,August 24 2018,Complete,"124 Auburn St
Cambridge, MA 02139
(42.362857, -71.10384)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,4,2,3,Yes,2,Airbnb
15209,June 20 2019,Complete,"1683 Cambridge St
Cambridge, MA 02138
(42.375084, -71.111384)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,Yes,2,2,5,Yes,1,Airbnb
13444,March 31 2020,Complete,"24 Decatur St
Cambridge, MA 02139
(42.361196, -71.105658)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,4,4,8,Yes,3,Airbnb
15138,April 16 2019,Complete,"67 Jay St
Cambridge, MA 02139
(42.36656, -71.110151)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,3,2,6,Yes,2,"Airbnb, HomeAway"
57457,November 05 2019,Complete,"50 Inman St
Cambridge, MA 02139
(42.369678, -71.103204)",This application is for an OPERATOR-OCCUPIED short-term rental,"Multi-family dwelling of four units or less, all of which are owned by the operator",,No,2,2,6,Yes,1,Airbnb
20621,November 22 2019,Complete,"146 Berkshire St
Cambridge, MA 02141
(42.372124, -71.089837)",This application is for an OPERATOR-OCCUPIED short-term rental,Other,condo in multi-family building,Yes,1,1,2,Yes,1,Airbnb
13990,April 02 2020,Complete,"333 Mt Auburn St
Cambridge, MA 02138
(42.375001, -71.135458)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,2,1,2,No,1,Airbnb
14647,March 02 2020,Complete,"16 Lopez Ave
Cambridge, MA 02141
(42.368525, -71.079792)",This application is for an OWNER-ADJACENT short-term rental,Three-family structure,,No,1,1,4,Yes,1,Airbnb
17468,July 17 2018,Complete,"16 Surrey St
Cambridge, MA 02138
(42.368725, -71.114153)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,2,2,6,Yes,1,"Airbnb, HomeAway, FlipKey, VRBO, Craigslist, Couch_Surfing, Boston_Rentals, "
14804,June 06 2019,Complete,"86 Pine St
Cambridge, MA 02139
(42.365499, -71.097807)",This application is for an OWNER-ADJACENT short-term rental,Three-family structure,,No,3,2,4,Yes,1,Airbnb
13597,June 13 2018,Complete,"75 Plymouth St
Cambridge, MA 02141
(42.368986, -71.093742)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,3,3,5,Yes,1,Airbnb
13693,April 22 2019,Complete,"60 Roseland St
Cambridge, MA 02140
(42.386687, -71.116705)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,4,2,4,No,1,Airbnb
13295,March 25 2020,Complete,"6 Fairview Ave
Cambridge, MA 02138
(42.378998, -71.155439)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,3,1,3,Yes,1,Airbnb
14836,June 13 2019,Complete,"32 Elm St
Cambridge, MA 02139
(42.367962, -71.098336)",This application is for an OWNER-ADJACENT short-term rental,Three-family structure,,No,3,3,10,Yes,1,"Airbnb, Craigslist"
13900,April 18 2019,Complete,"128 Oxford St
Cambridge, MA 02140
(42.38485, -71.116126)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,Yes,2,2,6,Yes,2,Airbnb
64481,March 18 2020,Complete,"4 Trowbridge Pl
Cambridge, MA 02138
(42.372497, -71.111976)",This application is for an OPERATOR-OCCUPIED short-term rental,Other,Condo in a high rise building,Yes,2,2,4,Yes,2,Airbnb
13631,April 06 2018,Complete,"31 Fairmont Ave
Cambridge, MA 02139
(42.361718, -71.112584)",This application is for an OWNER-ADJACENT short-term rental,Three-family structure,,No,1,1,2,Yes,1,Airbnb
13719,March 27 2018,Complete,"64 Willow St
Cambridge, MA 02141
(42.371453, -71.092454)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,Yes,3,2,4,Yes,1,Airbnb
18429,July 02 2019,Complete,"249 Lexington Ave
Cambridge, MA 02138
(42.382701, -71.141996)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,4,2,3,No,1,Airbnb
15588,January 06 2020,Complete,"199 Mt Auburn St
Cambridge, MA 02138
(42.374609, -71.129086)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,2,1,7,Yes,1,Airbnb
15829,May 17 2019,Complete,"16 Berkeley St
Cambridge, MA 02138
(42.378347, -71.12565)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,6,1,2,Yes,1,Airbnb
13284,March 14 2019,Complete,"142 Pine St
Cambridge, MA 02139
(42.36637, -71.097473)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,Yes,2,1,1,Yes,0,Airbnb
14665,March 29 2019,Complete,"47 Montgomery St
Cambridge, MA 02140
(42.39484, -71.133164)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,2,2,6,Yes,1,Airbnb
13357,March 18 2019,Complete,"17 Meacham Rd
Cambridge, MA 02140
(42.395775, -71.126454)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,3,2,6,Yes,2,Airbnb
14912,May 30 2019,Complete,"47 Eighth St
Cambridge, MA 02141
(42.370149, -71.086522)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,1,1,2,Yes,1,Airbnb
12140,March 26 2018,Complete,"10 Howland St
Cambridge, MA 02138
(42.381477, -71.1139)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,1,1,2,Yes,1,Airbnb
13734,April 01 2019,Complete,"6 Peters St
Cambridge, MA 02139
(42.357565, -71.106818)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,5,1,2,No,1,Airbnb
15516,October 02 2018,Complete,"1522 Cambridge St
Cambridge, MA 02139
(42.37431, -71.105426)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,5,3,6,Yes,2,Airbnb
62909,January 06 2020,Complete,"24-B Union St
Cambridge, MA 02141
(42.369755, -71.095278)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,3,2,4,Yes,1,Airbnb
14798,July 10 2019,Complete,"75 Montgomery St
Cambridge, MA 02140
(42.39552, -71.133189)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,3,1,1,Yes,1,Airbnb
13536,March 26 2018,Complete,"82 Richdale Ave
Cambridge, MA 02140
(42.388707, -71.124055)",This application is for an OWNER-ADJACENT short-term rental,Three-family structure,,No,2,2,4,Yes,1,Airbnb
54175,September 09 2019,Complete,"52 1 2 Kinnaird St
Cambridge, MA 02139
(42.366365, -71.109521)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,1,1,5,Yes,1,Airbnb
48642,August 28 2019,Complete,"112 Upland Rd
Cambridge, MA 02140
(42.3874, -71.123478)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,1,1,4,No,1,Airbnb
13918,June 14 2018,Complete,"48 Norfolk St
Cambridge, MA 02139
(42.365308, -71.101238)",This application is for an OWNER-ADJACENT short-term rental,Three-family structure,,No,3,3,7,Yes,1,"Airbnb, HomeAway"
13870,June 18 2019,Complete,"163 Mt Auburn St
Cambridge, MA 02138
(42.3744, -71.125997)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,2,2,4,Yes,1,"Airbnb, HomeAway"
18954,November 13 2018,Complete,"383 Cardinal Medeiros Ave
Cambridge, MA 02141
(42.370868, -71.089164)",This application is for an OPERATOR-OCCUPIED short-term rental,Other,This is a small apartment building (6 units). I am the tenant living in unit 1F.,No,3,2,4,No,1,Airbnb
28731,December 12 2019,Complete,"53 Hayes St
Cambridge, MA 02139
(42.366534, -71.11136)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,2,1,2,Yes,1,Airbnb
13957,April 13 2020,Complete,"246 Norfolk St
Cambridge, MA 02139
(42.370219, -71.098011)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,3,2,4,Yes,2,Airbnb
13517,March 29 2020,Complete,"67 Clifton St
Cambridge, MA 02140
(42.395581, -71.136297)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,3,2,2,Yes,2,Airbnb
13333,March 27 2018,Complete,"192 Rindge Ave
Cambridge, MA 02140
(42.393435, -71.132184)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,3,3,6,Yes,2,Airbnb
59297,November 13 2019,Complete,"67 Montgomery St
Cambridge, MA 02140
(42.39535, -71.133183)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,4,4,10,Yes,2,Airbnb
15054,April 18 2018,Complete,"67 Montgomery St
Cambridge, MA 02140
(42.39535, -71.133183)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,3,2,8,Yes,2,Airbnb
66608,March 04 2020,Complete,"208 Prospect St
Cambridge, MA 02139
(42.370486, -71.100198)",This application is for an OPERATOR-OCCUPIED short-term rental,"Multi-family dwelling of four units or less, all of which are owned by the operator",,No,3,2,6,Yes,2,Airbnb
16063,June 25 2018,Complete,"285 Third St
Cambridge, MA 02142
(42.364905, -71.082869)",This application is for an OPERATOR-OCCUPIED short-term rental,Other,Large apartment building with property management on site,No,2,2,5,Yes,2,Airbnb
13660,March 28 2018,Complete,"236 Allston St
Cambridge, MA 02139
(42.359603, -71.109886)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,4,4,8,Yes,3,"Airbnb, HomeAway"
14032,June 03 2019,Complete,"60 Buckingham St
Cambridge, MA 02138
(42.380433, -71.129876)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,3,2,4,Yes,1,Airbnb
15279,May 18 2019,Complete,"10 Watson St
Cambridge, MA 02139
(42.361923, -71.104061)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,Yes,3,1,2,No,1,Airbnb
14772,April 04 2019,Complete,"45 Garfield St
Cambridge, MA 02138
(42.383708, -71.117688)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,2,2,2,No,2,Airbnb
13324,March 27 2018,Complete,"151 Appleton St
Cambridge, MA 02138
(42.381702, -71.134005)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,4,4,10,Yes,2,"Airbnb, HomeAway, VRBO"
12121,March 26 2018,Complete,"108 Gore St
Cambridge, MA 02141
(42.372087, -71.082567)",This application is for an OPERATOR-OCCUPIED short-term rental,Other,Unit in 4 Unit Condo Association,Yes,2,1,2,Yes,1,Airbnb
13754,April 11 2018,Complete,"257 Cambridge St
Cambridge, MA 02141
(42.371076, -71.080312)",This application is for an OPERATOR-OCCUPIED short-term rental,"Multi-family dwelling of four units or less, all of which are owned by the operator",,No,2,2,5,Yes,1,Airbnb
14611,April 09 2018,Complete,"87 Tremont St
Cambridge, MA 02139
(42.372931, -71.097239)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,2,2,4,Yes,1,Airbnb
13676,April 02 2018,Complete,"82 Avon Hill St
Cambridge, MA 02140
(42.385519, -71.124859)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,5,2,2,No,1.5,"Airbnb, bedandbreakfast.com; avonhillhouse dot com"
48266,June 20 2019,Complete,"7 Vineyard St
Cambridge, MA 02138
(42.378817, -71.152612)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,Yes,4,3,5,Yes,2,Airbnb
52764,August 07 2019,Complete,"48 Seventh St
Cambridge, MA 02141
(42.371433, -71.085608)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,2,2,5,Yes,2,"Airbnb, HomeAway"
20433,November 02 2018,Complete,"285 Third St
Cambridge, MA 02142
(42.364905, -71.082869)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,1,1,3,Yes,2,Airbnb
13851,March 25 2020,Complete,"7 Pleasant Pl
Cambridge, MA 02139
(42.363294, -71.108119)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,3,1,2,Yes,1,Airbnb
25341,November 05 2018,Complete,"18 Howard St
Cambridge, MA 02139
(42.364244, -71.110688)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,Our 2 family house is a one family house with a finished basement apartment. The STR would be the basement apartment.,No,1,1,2,Yes,1,Airbnb
14851,May 21 2019,Complete,"42 Reed St
Cambridge, MA 02140
(42.394602, -71.132114)",This application is for an OWNER-ADJACENT short-term rental,Three-family structure,,No,1,1,2,Yes,1,Airbnb
13449,April 23 2018,Complete,"44-A Sacramento St
Cambridge, MA 02138
(42.382553, -71.115313)",This application is for an OWNER-ADJACENT short-term rental,Three-family structure,,No,2,2,4,Yes,1,Airbnb
15216,April 22 2019,Complete,"140 Columbia St
Cambridge, MA 02139
(42.366624, -71.098056)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,duplex condo,Yes,3,3,6,Yes,2,Airbnb
61356,January 15 2020,Complete,"1359 Cambridge St
Cambridge, MA 02139
(42.373638, -71.100138)",This application is for an OPERATOR-OCCUPIED short-term rental,Other,Mixed use ,No,3,2,4,Yes,2,Airbnb
14805,February 19 2020,Complete,"36 Jefferson St
Cambridge, MA 02141
(42.373125, -71.089828)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,2,2,5,Yes,2,Airbnb
13356,March 20 2019,Complete,"48 Berkshire St
Cambridge, MA 02141
(42.369553, -71.091315)",This application is for an OWNER-ADJACENT short-term rental,Three-family structure,,No,3,3,4,Yes,1,"Airbnb, HomeAway, FlipKey, Craigslist, Boston_Rentals"
13635,August 14 2018,Complete,"53 Fresh Pond Ln
Cambridge, MA 02138
(42.377962, -71.144596)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,1,1,2,Yes,1,Airbnb
16481,September 20 2019,Complete,"286 Windsor St
Cambridge, MA 02139
(42.368322, -71.094951)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,Yes,2,2,4,Yes,2,Airbnb
15836,June 05 2018,Complete,"249 Hurley St
Cambridge, MA 02141
(42.368551, -71.082533)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,2,1,2,Yes,1,Airbnb
13300,March 25 2020,Complete,"192 Larch Rd
Cambridge, MA 02138
(42.381017, -71.143789)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,1,1,4,Yes,1,Airbnb
52032,August 12 2019,Complete,"15 Bowdoin St
Cambridge, MA 02138
(42.382733, -71.120694)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,1,1,3,Yes,1,Airbnb
13970,April 09 2019,Complete,"119 Pine St
Cambridge, MA 02139
(42.366088, -71.097583)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,Yes,3,2,4,Yes,1,Airbnb
49184,July 03 2019,Complete,"53-R Cedar St
Cambridge, MA 02140
(42.394578, -71.130821)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,1,1,4,Yes,1,Airbnb
50480,July 03 2019,Complete,"19 Haskell St
Cambridge, MA 02140
(42.393091, -71.127132)",This application is for an OWNER-ADJACENT short-term rental,Three-family structure,,No,2,2,4,Yes,1,Airbnb
11950,April 15 2020,Complete,"13 Hollis St
Cambridge, MA 02140
(42.39404, -71.128166)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,3,3,6,No,1,Airbnb
